,IDENTIFIER,LATEST ADMISSION DATE,RACE,GENDER,OFFENSE,Year,SENTENCE_DAYS,BOND_AMOUNT
20,ZZEJJBHH,01/03/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,731,5000
21,ZZSEWRRR,01/03/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,122,20000
22,ZZRJWEEJ,01/03/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,365,250000
23,ZZSRHJSC,01/03/2018,WHITE,M,OTHERS,2018,0,250000
24,ZZHCRLSW,01/05/2018,HISPANIC,M,INJURY OR RISK OF INJURY TO MINOR      F,2018,1096,72100
25,ZZEJCHBC,01/05/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,90,30000
26,ZZSZLZZC,01/05/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018,183,42500
27,ZZEBEWEC,01/05/2018,HISPANIC,M,OTHERS,2018,548,75000
28,ZZHCSLZB,01/05/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018,90,5000
29,ZZRRZSZZ,01/05/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018,60,25000
30,ZZHBCSHJ,01/05/2018,WHITE,M,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018,0,7500
31,ZZHCWZEL,01/08/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,365,20500
32,ZZHBBLWH,01/08/2018,WHITE,M,CRIM VIOL OF PROTECTIVE ORDER         DF,2018,350,70000
33,ZZSRHZBR,01/08/2018,HISPANIC,M,OTHERS,2018,274,75000
34,ZZRCSLBW,01/08/2018,WHITE,M,OTHERS,2018,548,80000
35,ZZSEZRBW,01/08/2018,WHITE,M,OTHERS,2018,913,30000
36,ZZRCSCRB,01/08/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,548,25000
37,ZZSRSZER,01/08/2018,HISPANIC,F,OTHERS,2018,60,10000
38,ZZHBZLSB,01/09/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,913,170000
39,ZZHWLBRB,01/09/2018,WHITE,M,OTHERS,2018,10,2500
40,ZZHLRSLH,01/02/2018,HISPANIC,M,INJURY OR RISK OF INJURY TO MINOR      F,2018,0,50300
41,ZZHLJWZC,01/09/2018,HISPANIC,M,OTHERS,2018,0,446000
42,ZZHBJCRH,01/09/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018,548,50000
43,ZZSZEZJW,01/09/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018,365,25000
44,ZZHRJSZE,01/09/2018,BLACK,M,OTHERS,2018,0,20250
45,ZZHWJBJB,01/09/2018,HISPANIC,M,OTHERS,2018,0,250000
46,ZZZCLCRC,01/10/2018,WHITE,M,"BURGLARY, THIRD DEGREE                DF",2018,183,65000
47,ZZHELWLE,01/10/2018,HISPANIC,M,OTHERS,2018,913,25000
48,ZZHZLEWW,01/10/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,639,31000
49,ZZRJLZSZ,01/10/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018,731,75000
50,ZZEBCWLC,01/10/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,0,75200
51,ZZHHJJCB,01/10/2018,HISPANIC,M,OTHERS,2018,0,1301000
52,ZZSRSZLS,01/11/2018,BLACK,M,OTHERS,2018,1491,65000
53,ZZRSJCBE,01/11/2018,WHITE,M,"ASSAULT, THIRD DEGREE                 AM",2018,45,5000
54,ZZRWSBSL,01/11/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,0,700200
55,ZZRRZBRL,01/11/2018,BLACK,M,"ASSAULT, FIRST DEGREE                 BF",2018,0,45300
56,ZZRSCBCW,01/11/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018,244,200000
57,ZZHRSRLZ,01/11/2018,HISPANIC,M,INJURY OR RISK OF INJURY TO MINOR      F,2018,365,350000
58,ZZHCBSRC,01/11/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018,90,20500
59,ZZSEECJW,01/11/2018,BLACK,M,OTHERS,2018,8037,800000
60,ZZSEHSWZ,01/03/2018,BLACK,M,"ROBBERY, FIRST DEGREE                 BF",2018,0,395000
61,ZZREWWRR,01/11/2018,HISPANIC,M,"FAILURE TO APPEAR, FIRST DEGREE       DF",2018,0,230000
62,ZZSEHLRB,01/11/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,0,76000
63,ZZHCZHHC,01/11/2018,BLACK,M,OTHERS,2018,1461,205000
64,ZZRCCJSR,01/11/2018,HISPANIC,M,OTHERS,2018,365,5100
65,ZZSEJELR,01/11/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018,122,8000
66,ZZHCJZRH,01/12/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,457,30000
67,ZZRLWCCZ,01/12/2018,BLACK,M,OTHERS,2018,0,251000
68,ZZSRZWLC,01/12/2018,HISPANIC,M,OTHERS,2018,0,201000
69,ZZRESHHJ,01/12/2018,HISPANIC,M,"BURGLARY, THIRD DEGREE                DF",2018,1461,53000
70,ZZSRSZBH,01/12/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018,105,20000
71,ZZRLZHRE,01/12/2018,HISPANIC,F,OTHERS,2018,0,150000
72,ZZHCHJLW,01/12/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,365,85000
73,ZZEHRCSZ,01/12/2018,BLACK,M,"ASSAULT, FIRST DEGREE                 BF",2018,0,50000
74,ZZHCJSRB,01/12/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018,274,30000
75,ZZSERWZR,01/12/2018,HISPANIC,M,OTHERS,2018,0,150000
76,ZZSRSZBB,01/12/2018,HISPANIC,M,OTHERS,2018,0,200100
77,ZZSEEEZB,01/12/2018,BLACK,M,CRIM VIOL OF PROTECTIVE ORDER         DF,2018,0,204000
78,ZZHHERHC,01/16/2018,HISPANIC,M,"FAILURE TO APPEAR, FIRST DEGREE       DF",2018,0,300000
79,ZZERRHLC,01/16/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,90,25000
80,ZZHCCCSR,01/16/2018,BLACK,M,CRIMINAL POSSESSION OF A PISTOL       DF,2018,0,110000
81,ZZHHCJZJ,01/16/2018,BLACK,F,OTHERS,2018,0,15000
82,ZZRWJBBL,01/16/2018,HISPANIC,M,"ASSAULT, THIRD DEGREE                 AM",2018,90,20000
83,ZZSECRJS,01/16/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,365,50000
84,ZZHJWCER,01/16/2018,WHITE,M,OTHERS,2018,274,10000
85,ZZRSBWWH,01/16/2018,HISPANIC,M,"ASSAULT, THIRD DEGREE                 AM",2018,122,12500
86,ZZRWELCJ,01/16/2018,BLACK,M,INJURY OR RISK OF INJURY TO MINOR      F,2018,913,100100
87,ZZHBHSWR,01/16/2018,HISPANIC,M,OTHERS,2018,0,300300
88,ZZHSCBSH,01/16/2018,WHITE,M,"ROBBERY, FIRST DEGREE                 BF",2018,1826,204000
89,ZZEHEBEC,01/14/2018,WHITE,M,"FAILURE TO APPEAR, FIRST DEGREE       DF",2018,0,261000
90,ZZHCLELW,01/16/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018,457,100050
91,ZZSECCRR,01/16/2018,BLACK,M,CRIM VIOL OF PROTECTIVE ORDER         DF,2018,0,195000
92,ZZHBJJZH,01/17/2018,HISPANIC,M,OTHERS,2018,0,85500
93,ZZRCRCZE,01/17/2018,HISPANIC,M,OTHERS,2018,0,276000
94,ZZRSCHEE,01/17/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,365,20000
95,ZZSRSEHH,01/17/2018,BLACK,M,"ROBBERY, FIRST DEGREE                 BF",2018,0,150300
96,ZZHJBSZS,01/17/2018,HISPANIC,M,"ASSAULT, FIRST DEGREE                 BF",2018,0,300000
97,ZZHWHZZB,01/17/2018,WHITE,M,OTHERS,2018,732,22500
98,ZZSEJSLS,01/18/2018,WHITE,M,CRIM VIOL OF PROTECTIVE ORDER         DF,2018,365,125100
99,ZZHJCSHE,01/18/2018,WHITE,F,OTHERS,2018,0,60000
100,ZZHBJRCZ,01/18/2018,WHITE,M,"ASSAULT, FIRST DEGREE                 BF",2018,1461,502000
101,ZZRHZWWJ,01/18/2018,BLACK,M,"ASSAULT, THIRD DEGREE                 AM",2018,45,75000
102,ZZHBZLJZ,01/18/2018,BLACK,F,VIOLATION OF PROBATION OR COND DISCHG,2018,365,35000
103,ZZSRRHHB,01/18/2018,BLACK,M,"BURGLARY, THIRD DEGREE                DF",2018,365,9000
104,ZZSZLERS,01/18/2018,WHITE,M,"FAILURE TO APPEAR, FIRST DEGREE       DF",2018,0,82075
105,ZZHLBJCR,01/18/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,1096,50000
106,ZZSRSEWH,01/18/2018,WHITE,M,OTHERS,2018,913,252000
107,ZZRRRZWL,01/19/2018,BLACK,M,OTHERS,2018,0,20000
108,ZZHWLHLJ,01/19/2018,WHITE,M,OTHERS,2018,122,7600
109,ZZHJBHBW,01/19/2018,BLACK,M,CRIMINAL POSSESSION OF A PISTOL       DF,2018,913,275000
110,ZZHJLEEW,01/19/2018,HISPANIC,F,VIOLATION OF PROBATION OR COND DISCHG,2018,548,50000
111,ZZSZLERZ,01/19/2018,BLACK,M,OTHERS,2018,365,50000
112,ZZSRSECS,01/19/2018,HISPANIC,M,OTHERS,2018,1096,102000
113,ZZRJHHRE,01/19/2018,HISPANIC,M,OTHERS,2018,0,150000
114,ZZHJJWLZ,01/19/2018,BLACK,M,OTHERS,2018,731,107000
115,ZZSZZBWH,01/19/2018,WHITE,M,OTHERS,2018,426,70000
116,ZZELBHEL,01/19/2018,BLACK,M,INJURY OR RISK OF INJURY TO MINOR      F,2018,1096,400000
117,ZZRBSSHR,01/19/2018,BLACK,M,OTHERS,2018,274,200500
118,ZZSRZESE,01/19/2018,BLACK,M,"BURGLARY, THIRD DEGREE                DF",2018,183,10000
119,ZZRHZCJC,01/19/2018,WHITE,M,OTHERS,2018,365,13000
120,ZZHHZBJZ,01/19/2018,BLACK,F,"ASSAULT, THIRD DEGREE                 AM",2018,183,50000
121,ZZREBZWH,01/19/2018,WHITE,M,"ROBBERY, FIRST DEGREE                 BF",2018,2557,160600
122,ZZSRSRZR,01/22/2018,HISPANIC,M,OTHERS,2018,1461,225000
123,ZZHRWLLB,01/22/2018,BLACK,M,OTHERS,2018,0,110100
124,ZZHSLJBH,01/22/2018,WHITE,M,OTHERS,2018,0,65000
125,ZZHLCHEZ,01/22/2018,BLACK,F,VIOLATION OF PROBATION OR COND DISCHG,2018,183,5000
126,ZZHLZSCE,01/22/2018,HISPANIC,M,OTHERS,2018,60,21500
127,ZZHHWJWL,01/22/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,913,93500
128,ZZRRWEJL,01/22/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018,0,67000
129,ZZRLHLBC,01/22/2018,WHITE,M,OTHERS,2018,731,76500
130,ZZHEJLZW,01/22/2018,WHITE,M,OTHERS,2018,0,150000
131,ZZHWWWEL,01/22/2018,BLACK,M,OTHERS,2018,274,26000
132,ZZRSBHEL,01/08/2018,HISPANIC,M,OTHERS,2018,15,1500
133,ZZHELLSW,01/22/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,244,55000
134,ZZSEBREE,01/22/2018,WHITE,M,OTHERS,2018,1826,332500
135,ZZRJCCRS,01/22/2018,BLACK,M,OTHERS,2018,2192,275000
136,ZZRJZJSR,01/22/2018,WHITE,M,OTHERS,2018,0,100000
137,ZZRLLLRC,01/22/2018,AMER IND,M,"ASSAULT, FIRST DEGREE                 BF",2018,1826,250000
138,ZZRSZJLS,01/22/2018,WHITE,M,"FAILURE TO APPEAR, FIRST DEGREE       DF",2018,0,500000
139,ZZHJWERJ,01/22/2018,BLACK,M,OTHERS,2018,0,550000
140,ZZHBEHSL,01/22/2018,HISPANIC,M,OTHERS,2018,365,2500
141,ZZZBLCEH,01/23/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,335,20000
142,ZZHBRHJH,01/23/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,365,202000
143,ZZRBSZLH,01/23/2018,HISPANIC,M,OTHERS,2018,761,650000
144,ZZHJZZSW,01/23/2018,WHITE,M,OTHERS,2018,0,32150
145,ZZHSRHJJ,01/23/2018,BLACK,M,CRIM VIOL OF PROTECTIVE ORDER         DF,2018,913,125000
146,ZZSRZWSL,01/23/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,122,50000
147,ZZHWWZHH,01/23/2018,BLACK,M,INJURY OR RISK OF INJURY TO MINOR      F,2018,365,30500
148,ZZHHECRS,01/23/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,122,10000
149,ZZSELWSW,01/24/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018,90,30000
150,ZZSZBBWC,01/24/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018,90,25000
151,ZZSRSZBE,01/12/2018,AMER IND,M,"ROBBERY, FIRST DEGREE                 BF",2018,0,110000
152,ZZSZWZHC,01/24/2018,WHITE,M,"ASSAULT, THIRD DEGREE                 AM",2018,0,13000
153,ZZHBJLRW,01/24/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,90,10000
154,ZZSELWCW,01/24/2018,HISPANIC,M,"BURGLARY, THIRD DEGREE                DF",2018,548,41000
155,ZZHJSRLB,01/24/2018,HISPANIC,M,OTHERS,2018,426,101500
156,ZZHHZRRR,01/24/2018,BLACK,M,OTHERS,2018,731,350000
157,ZZSEWJHH,01/24/2018,HISPANIC,M,OTHERS,2018,0,660300
158,ZZHCRJCL,01/24/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,122,20000
159,ZZSEJSLE,01/24/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,304,25000
160,ZZHWRLWE,01/24/2018,WHITE,F,OTHERS,2018,0,260000
161,ZZHLLJEH,01/25/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,731,100000
162,ZZSZJJHB,01/25/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,30,25001
163,ZZRJZJZH,01/25/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018,670,70000
164,ZZSRSRJZ,01/25/2018,BLACK,M,OTHERS,2018,183,10000
165,ZZSZLCEC,01/25/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,913,110000
166,ZZHBLRHW,01/25/2018,BLACK,M,OTHERS,2018,0,50000
167,ZZZJCHHZ,01/25/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,90,15000
168,ZZHWZEWZ,01/25/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018,731,250000
169,ZZEHZWCE,01/25/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,365,2500
170,ZZHLSJCH,01/25/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018,731,25002
171,ZZHLCWRJ,01/25/2018,BLACK,M,"FAILURE TO APPEAR, FIRST DEGREE       DF",2018,0,366500
172,ZZEJEHWZ,01/26/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,1096,500000
173,ZZHSRBBR,01/26/2018,WHITE,M,OTHERS,2018,0,130000
174,ZZSRSHEJ,01/26/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018,183,15495
175,ZZSRSHRR,01/26/2018,WHITE,F,OTHERS,2018,731,75000
176,ZZHBSRJW,01/26/2018,BLACK,M,"ROBBERY, FIRST DEGREE                 BF",2018,0,200000
177,ZZSZBHRZ,01/26/2018,BLACK,M,"ROBBERY, FIRST DEGREE                 BF",2018,2557,450000
178,ZZSERZWH,01/26/2018,HISPANIC,M,CRIM VIOL OF PROTECTIVE ORDER         DF,2018,731,350000
179,ZZRHJCEZ,01/26/2018,WHITE,M,INJURY OR RISK OF INJURY TO MINOR      F,2018,761,100000
180,ZZHRBJSH,01/26/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,152,100000
181,ZZHLCREL,01/27/2018,WHITE,M,"ASSAULT, THIRD DEGREE                 AM",2018,90,40000
182,ZZSESJRC,01/29/2018,BLACK,M,OTHERS,2018,365,100000
183,ZZSERBHC,01/29/2018,BLACK,M,OTHERS,2018,913,60000
184,ZZHEJZZE,01/29/2018,HISPANIC,M,OTHERS,2018,731,75000
185,ZZHBEJWL,01/29/2018,BLACK,F,"FAILURE TO APPEAR, FIRST DEGREE       DF",2018,0,50000
186,ZZRWBBEW,01/29/2018,BLACK,M,OTHERS,2018,1096,100000
187,ZZHWZWEE,01/29/2018,BLACK,M,OTHERS,2018,0,1201100
188,ZZSZLJRZ,01/29/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,548,30250
189,ZZSRSHHZ,01/29/2018,WHITE,M,OTHERS,2018,0,550000
190,ZZHCEBSB,01/29/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,60,101000
191,ZZHRCJJW,01/29/2018,WHITE,M,OTHERS,2018,2922,850500
192,ZZHRRBEL,01/29/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,281334,50500
193,ZZHSHHWE,01/29/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,913,61000
194,ZZEHJECB,01/29/2018,BLACK,M,"ASSAULT, THIRD DEGREE                 AM",2018,0,27500
195,ZZSEWWBH,01/29/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,365,20000
196,ZZSRSHRB,01/29/2018,HISPANIC,M,"ASSAULT, FIRST DEGREE                 BF",2018,2557,200000
197,ZZSRSHHC,01/29/2018,WHITE,M,OTHERS,2018,731,30000
198,ZZHLLCRH,01/29/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,457,50000
199,ZZSRSHCH,01/30/2018,BLACK,M,OTHERS,2018,0,10000
200,ZZRLZLHR,01/30/2018,BLACK,M,OTHERS,2018,91,15000
201,ZZHJRCRR,01/30/2018,BLACK,M,OTHERS,2018,1096,600000
202,ZZSZWJHL,01/30/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,30,40000
203,ZZSRZJCW,01/30/2018,WHITE,M,INJURY OR RISK OF INJURY TO MINOR      F,2018,1096,608200
204,ZZHRZEWW,01/30/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,183,75000
205,ZZHRLHLC,01/30/2018,BLACK,M,"ROBBERY, FIRST DEGREE                 BF",2018,0,152600
206,ZZSERREJ,01/30/2018,BLACK,M,OTHERS,2018,274,261500
207,ZZHLJLZJ,01/31/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,731,51600
208,ZZSRSHJS,01/31/2018,BLACK,M,OTHERS,2018,0,410000
209,ZZSRSSZE,01/31/2018,BLACK,M,"ROBBERY, FIRST DEGREE                 BF",2018,1096,1000000
210,ZZRBBEZC,01/31/2018,BLACK,M,OTHERS,2018,0,350000
211,ZZHHRRWJ,01/31/2018,WHITE,F,CRIMINAL POSSESSION OF A PISTOL       DF,2018,731,60100
212,ZZSECZJL,01/31/2018,BLACK,M,OTHERS,2018,0,105000
213,ZZSREJSB,01/31/2018,BLACK,M,CRIM VIOL OF PROTECTIVE ORDER         DF,2018,274,150000
214,ZZSRSSZS,01/31/2018,HISPANIC,F,OTHERS,2018,1826,251500
215,ZZHZLREJ,01/31/2018,WHITE,M,"FAILURE TO APPEAR, FIRST DEGREE       DF",2018,0,200000
216,ZZRWEBHH,01/31/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,365,60000
217,ZZSZCWES,01/31/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,731,100000
218,ZZSRSHBB,01/31/2018,HISPANIC,M,"ASSAULT, FIRST DEGREE                 BF",2018,1826,200000
219,ZZSRHHZZ,01/26/2018,HISPANIC,M,OTHERS,2018,120,51000
220,ZZHSJWCS,01/31/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018,0,43000
221,ZZHBBECZ,02/01/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,120,50000
222,ZZSEBHRW,02/01/2018,WHITE,F,OTHERS,2018,548,510000
223,ZZSZCCBW,02/01/2018,WHITE,F,INJURY OR RISK OF INJURY TO MINOR      F,2018,0,155000
224,ZZEHLEJC,02/01/2018,WHITE,M,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018,29,12000
225,ZZSERSHZ,02/01/2018,WHITE,M,INJURY OR RISK OF INJURY TO MINOR      F,2018,426,95000
226,ZZSRSSRH,02/01/2018,HISPANIC,F,OTHERS,2018,0,50000
227,ZZHLZRZS,02/01/2018,BLACK,M,OTHERS,2018,1339,650000
228,ZZRRLSLR,02/01/2018,BLACK,M,"ASSAULT, THIRD DEGREE                 AM",2018,1461,101050
229,ZZRRLBHZ,02/01/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018,731,100000
230,ZZSEZCCS,02/01/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,90,10000
231,ZZHJBWBJ,02/02/2018,HISPANIC,F,INJURY OR RISK OF INJURY TO MINOR      F,2018,1826,205000
232,ZZRJCBJL,01/31/2018,WHITE,M,OTHERS,2018,732,6200
233,ZZHSZREC,02/02/2018,HISPANIC,F,VIOLATION OF PROBATION OR COND DISCHG,2018,274,20000
234,ZZREBZBS,02/02/2018,BLACK,M,OTHERS,2018,913,500200
235,ZZHLBWRR,02/02/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,152,15000
236,ZZRHHWHZ,02/02/2018,HISPANIC,M,OTHERS,2018,0,303000
237,ZZSRSSHJ,02/02/2018,HISPANIC,F,OTHERS,2018,0,451000
238,ZZRSZHEJ,02/02/2018,BLACK,M,OTHERS,2018,183,10100
239,ZZSRHERC,02/02/2018,HISPANIC,M,OTHERS,2018,0,270000
240,ZZRWCLSW,02/02/2018,WHITE,M,OTHERS,2018,183,5000
241,ZZRHWWHS,02/01/2018,BLACK,M,CRIMINAL POSSESSION OF A PISTOL       DF,2018,1278,125000
242,ZZSRSSSH,02/04/2018,WHITE,F,CRIMINAL POSSESSION OF A PISTOL       DF,2018,1461,150000
243,ZZSECJCE,02/05/2018,ASIAN,F,OTHERS,2018,2922,288500
244,ZZSZBCSB,02/05/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,183,15000
245,ZZSRSSSR,02/04/2018,BLACK,M,OTHERS,2018,0,150000
246,ZZRZESLW,02/05/2018,WHITE,M,OTHERS,2018,122,10500
247,ZZECHSRW,02/05/2018,BLACK,F,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018,213,4000
248,ZZRECSWW,02/05/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018,122,30000
249,ZZSRSSWC,02/05/2018,HISPANIC,M,OTHERS,2018,183,2500
250,ZZHHCCHS,02/05/2018,WHITE,F,OTHERS,2018,90,2500
251,ZZECJECS,02/05/2018,WHITE,M,OTHERS,2018,365,20000
252,ZZHJEZLC,02/05/2018,HISPANIC,M,OTHERS,2018,0,152000
253,ZZHCSRBC,02/05/2018,HISPANIC,M,CRIM VIOL OF PROTECTIVE ORDER         DF,2018,457,100500
254,ZZSRSSWH,02/05/2018,WHITE,M,OTHERS,2018,0,800000
255,ZZZLCSSW,02/05/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,152,2500
256,ZZSRSSLW,02/05/2018,BLACK,M,OTHERS,2018,3653,1005000
257,ZZSZLCJS,02/06/2018,WHITE,M,OTHERS,2018,0,250000
258,ZZSEEHWB,01/25/2018,HISPANIC,M,OTHERS,2018,0,1000000
259,ZZZWJCES,02/06/2018,BLACK,M,OTHERS,2018,2557,75000
260,ZZHWBHWH,02/06/2018,WHITE,M,OTHERS,2018,365,49000
261,ZZHLJRLH,02/06/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,365,40000
262,ZZHCWSZL,02/06/2018,WHITE,M,OTHERS,2018,548,50050
263,ZZSELSRZ,02/06/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018,91,10100
264,ZZSEZHEE,02/06/2018,BLACK,M,INJURY OR RISK OF INJURY TO MINOR      F,2018,0,1042000
265,ZZZLJRLH,02/06/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018,396,51000
266,ZZSZSECZ,02/07/2018,BLACK,M,OTHERS,2018,2192,177500
267,ZZHCRSHL,02/07/2018,HISPANIC,M,"ASSAULT, THIRD DEGREE                 AM",2018,0,115000
268,ZZSZLHCH,01/11/2018,WHITE,M,OTHERS,2018,0,70200
269,ZZHBSSSL,02/07/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018,1461,75000
270,ZZSELCWH,02/08/2018,WHITE,F,"FAILURE TO APPEAR, FIRST DEGREE       DF",2018,0,7500
271,ZZSECHEJ,02/08/2018,WHITE,M,OTHERS,2018,0,955000
272,ZZSZLECZ,02/08/2018,BLACK,M,OTHERS,2018,365,100000
